epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,9899.11,0.70424,0.32334,1.01503,0.9351,0.90303,0.95933,0.6758,1.08894,0.34139,1.38316,0.008614,0.008614,0.008614
72,10038.2,0.70117,0.32284,1.01077,0.93629,0.90661,0.95755,0.67328,1.08915,0.34134,1.38525,0.0085942,0.0085942,0.0085942
73,10177.4,0.70052,0.32073,1.01088,0.93648,0.90518,0.95879,0.67484,1.08931,0.34196,1.38647,0.0085744,0.0085744,0.0085744
74,10316.4,0.69843,0.3193,1.00938,0.93678,0.90465,0.95823,0.67295,1.09016,0.34178,1.38864,0.0085546,0.0085546,0.0085546
75,10455.4,0.69325,0.32102,1.00556,0.93715,0.90408,0.95996,0.67379,1.09059,0.34178,1.391,0.0085348,0.0085348,0.0085348
76,10594.2,0.69117,0.32117,1.00427,0.93725,0.90465,0.95639,0.66856,1.09101,0.34146,1.39251,0.008515,0.008515,0.008515
77,10733.2,0.68197,0.31755,1.00015,0.93718,0.90566,0.96558,0.67435,1.09197,0.34221,1.39464,0.0084952,0.0084952,0.0084952
78,10872,0.6847,0.3185,1.00177,0.89342,0.93113,0.9676,0.67611,1.09296,0.34237,1.39629,0.0084754,0.0084754,0.0084754
79,11011,0.67957,0.31765,0.99854,0.89812,0.93098,0.96767,0.67645,1.09327,0.34149,1.39804,0.0084556,0.0084556,0.0084556
80,11150,0.67673,0.318,0.99742,0.89809,0.93099,0.96626,0.67537,1.09373,0.34129,1.39926,0.0084358,0.0084358,0.0084358
81,11289.2,0.6729,0.31364,0.99471,0.90352,0.92943,0.96619,0.67724,1.09414,0.34076,1.40039,0.008416,0.008416,0.008416
82,11428.1,0.6754,0.3151,0.99752,0.90834,0.9287,0.96585,0.67789,1.09475,0.34092,1.40192,0.0083962,0.0083962,0.0083962
83,11567,0.6687,0.31121,0.99193,0.91175,0.92844,0.96565,0.68054,1.09465,0.3409,1.40277,0.0083764,0.0083764,0.0083764
